front,back
What 1950 film noir starred Gloria Swanson as a faded star?,Sunset Boulevard
Who directed "Sunset Boulevard"?,Billy Wilder
What 1951 musical starred Gene Kelly singing in the rain?,Singin' in the Rain
What Marlon Brando film established method acting in 1951?,A Streetcar Named Desire
Who directed "Rear Window" (1954)?,Alfred Hitchcock
Who starred in "Rear Window"?,James Stewart and Grace Kelly
What 1954 film starred Marlon Brando as a boxer?,On the Waterfront
Who directed "On the Waterfront"?,Elia Kazan
What 1955 film made James Dean an icon?,Rebel Without a Cause
What was James Dean's other major 1955 film?,East of Eden
What epic won Best Picture in 1956?,Around the World in 80 Days
What 1956 film starred Charlton Heston as Moses?,The Ten Commandments
Who directed "The Ten Commandments"?,Cecil B. DeMille
What 1957 film featured a courtroom drama with Henry Fonda?,12 Angry Men
Who directed "12 Angry Men"?,Sidney Lumet
What epic film won 11 Oscars in 1959?,Ben-Hur
Who starred in "Ben-Hur"?,Charlton Heston
What 1958 Hitchcock film featured a fear of heights?,Vertigo
Who starred in "Vertigo"?,James Stewart and Kim Novak
What Marilyn Monroe comedy was released in 1959?,Some Like It Hot
Who directed "Some Like It Hot"?,Billy Wilder
What 1954 Japanese film influenced many Hollywood westerns?,Seven Samurai
Who directed "Seven Samurai"?,Akira Kurosawa
What musical starring Judy Garland was a 1954 remake?,A Star Is Born
What 1957 film was a courtroom drama about a murder case?,Witness for the Prosecution
What actress starred in "Roman Holiday" (1953)?,Audrey Hepburn
What studio system dominated 1950s Hollywood?,The Big Five studios
What technology competed with TV in the 1950s?,Widescreen formats like CinemaScope
What 1950 classic starred Bette Davis saying "Fasten your seatbelts"?,All About Eve
Who directed "All About Eve"?,Joseph L. Mankiewicz
