"front","back"
"¿Qué película de Hitchcock de 1960 presentó una famosa escena de ducha?","Psicosis"
"¿Quién interpretó a Norman Bates en ""Psicosis""?","Anthony Perkins"
"¿Qué película de 1962 introdujo a James Bond en el cine?","Dr. No"
"¿Quién fue el primer actor en interpretar a James Bond?","Sean Connery"
"¿Qué película de 1963 protagonizó Elizabeth Taylor como Cleopatra?","Cleopatra"
"¿Cuál fue la película más cara jamás hecha en ese momento?","Cleopatra (1963)"
"¿Qué musical de 1964 protagonizó Julie Andrews como Mary Poppins?","Mary Poppins"
"¿Quién dirigió ""Mary Poppins""?","Robert Stevenson"
"¿Qué musical de 1965 ganó el Oscar a Mejor Película?","La Novicia Rebelde"
"¿Quién protagonizó ""La Novicia Rebelde""?","Julie Andrews"
"¿En qué trilogía de spaghetti western protagonizó Clint Eastwood?","""La Trilogía del Dólar (Por un Puñado de Dólares, etc.)"""
"¿Quién dirigió la Trilogía del Dólar?","Sergio Leone"
"¿Qué película de 1967 protagonizó Dustin Hoffman como un recién graduado?","El Graduado"
"¿Quién dirigió ""El Graduado""?","Mike Nichols"
"¿Qué película de ciencia ficción de 1968 presentó a HAL 9000?","2001: Una Odisea del Espacio"
"¿Quién dirigió ""2001: Una Odisea del Espacio""?","Stanley Kubrick"
"¿Qué road movie de 1969 protagonizaron Peter Fonda y Dennis Hopper?","Busco Mi Destino"
"¿Qué película de 1962 protagonizó Gregory Peck como Atticus Finch?","Matar a un Ruiseñor"
"¿Quién dirigió ""Matar a un Ruiseñor""?","Robert Mulligan"
"¿Qué musical de 1961 presentó pandillas rivales de Nueva York?","Amor Sin Barreras"
"¿Quién dirigió ""Amor Sin Barreras"" (1961)?","""Robert Wise y Jerome Robbins"""
"¿Qué épica de 1960 protagonizó Kirk Douglas como un esclavo rebelde?","Espartaco"
"¿Quién dirigió ""Espartaco""?","Stanley Kubrick"
"¿Qué película de Hitchcock de 1963 presentó pájaros atacando?","Los Pájaros"
"¿Qué película de 1966 protagonizó Michael Caine como espía?","Ipcress"
"¿Qué película de 1967 protagonizó Sidney Poitier en un drama racial?","En el Calor de la Noche"
"¿Qué western de 1969 presentó a dos forajidos huyendo a Bolivia?","Butch Cassidy and the Sundance Kid"
"¿Quién protagonizó ""Butch Cassidy""?","Paul Newman y Robert Redford"
"¿Qué director de la Nouvelle Vague francesa hizo ""Sin Aliento""?","Jean-Luc Godard"
"¿Qué película italiana de 1960 de Fellini ganó la Palma de Oro?","La Dolce Vita"
