"front","back"
"¿Qué servicio de streaming transformó la música en los 2010?","Spotify"
"¿Qué cantante británica lanzó ""21"" en 2011?","Adele"
"¿Qué canción de ""21"" ganó múltiples Grammys?","Rolling in the Deep"
"¿Quién lanzó ""1989"" en 2014?","Taylor Swift"
"¿Cuál fue el álbum de transición de Taylor Swift del country al pop?","1989"
"¿Quién cantó ""Get Lucky"" con Daft Punk?","Pharrell Williams"
"¿Qué artista canadiense dominó la década con ""Hotline Bling""?","Drake"
"¿Quién lanzó ""Lemonade"" en 2016?","Beyoncé"
"¿Qué género combinando pop y música electrónica dominó?","EDM (Electronic Dance Music)"
"¿Quién fue el artista más reproducido de la década?","Drake"
"¿Qué artista islandesa lanzó ""Biophilia""?","Björk"
"¿Quién lanzó ""To Pimp a Butterfly""?","Kendrick Lamar"
"¿Qué canción se convirtió en himno de Black Lives Matter de ese álbum?","Alright"
"¿Quién lanzó ""Channel Orange"" en 2012?","Frank Ocean"
"¿Qué banda británica lanzó ""AM"" en 2013?","Arctic Monkeys"
"¿Quién cantó ""Royals"" en 2013?","Lorde"
"¿De qué país era Lorde?","Nueva Zelanda"
"¿Qué canción puertorriqueña se convirtió en hit global en 2017?","Despacito de Luis Fonsi y Daddy Yankee"
"¿Quién lanzó ""Born This Way""?","Lady Gaga"
"¿Qué grupo de K-pop se convirtió en fenómeno global?","BTS"
"¿Cuál fue el álbum récord de BTS?","Map of the Soul: 7"
"¿Quién lanzó ""25"" en 2015?","Adele"
"¿Qué canción de ""25"" se convirtió en su mayor éxito?","Hello"
"¿Quién lanzó ""Blurryface""?","Twenty One Pilots"
"¿Qué canción de Twenty One Pilots fue un gran éxito?","Stressed Out"
"¿Quién lanzó ""Melodrama""?","Lorde"
"¿Qué rapero lanzó ""DAMN.""?","Kendrick Lamar"
"¿Quién lanzó ""Blonde"" en 2016?","Frank Ocean"
"¿Qué artista lanzó ""Anti""?","Rihanna"
"¿Quién lanzó ""My Beautiful Dark Twisted Fantasy""?","Kanye West"
