front,back
Qual gênero dominou as danceterias no final dos anos 1970?,Disco
Qual filme de 1977 popularizou a música disco?,Os Embalos de Sábado à Noite
Quem cantou "Stayin' Alive"?,Bee Gees
Qual banda pioneirou o rock progressivo com "Bohemian Rhapsody"?,Queen
Quem era o vocalista do Queen?,Freddie Mercury
Qual banda punk lançou "Anarchy in the U.K."?,Sex Pistols
Qual clube de Nova York foi o berço do punk rock?,CBGB
Quem era o vocalista dos Ramones?,Joey Ramone
Qual artista de reggae lançou "Exodus" em 1977?,Bob Marley
Como se chamava a banda de Bob Marley?,The Wailers
Quem lançou "Hotel California"?,Eagles
Qual banda de rock lançou "Stairway to Heaven"?,Led Zeppelin
Quem era o guitarrista do Led Zeppelin?,Jimmy Page
Qual banda lançou "Dark Side of the Moon"?,Pink Floyd
Por quanto tempo "Dark Side of the Moon" ficou nas paradas?,937 semanas
Quem cantou "Imagine"?,John Lennon
A qual banda Stevie Nicks e Lindsey Buckingham se juntaram?,Fleetwood Mac
Qual foi o álbum mais vendido do Fleetwood Mac?,Rumours (1977)
Quem lançou "Born to Run"?,Bruce Springsteen
Qual grupo disco cantou "Y.M.C.A."?,Village People
Quem era conhecido como o "Padrinho do Punk"?,Iggy Pop
Qual banda britânica cantou "London Calling"?,The Clash
Quem lançou "What's Going On"?,Marvin Gaye
Quem era o "Padrinho do Soul"?,James Brown
Qual artista lançou "Thriller" no final dos anos 70?,"Michael Jackson (lançado em 1982, mas Off the Wall foi em 1979)"
Quem lançou "Let's Stay Together"?,Al Green
Qual banda de funk lançou "Give Up the Funk"?,Parliament-Funkadelic
Quem era o líder do Parliament-Funkadelic?,George Clinton
Qual cantor lançou "Piano Man"?,Billy Joel
Qual banda australiana lançou "Highway to Hell"?,AC/DC
