front,back
¿Qué película de 2019 se convirtió en la más taquillera de todos los tiempos?,Avengers: Endgame
¿Quién dirigió "Avengers: Endgame"?,Anthony y Joe Russo
¿Qué película de Christopher Nolan de 2010 presentó sueños dentro de sueños?,El Origen
¿Qué dispositivo extraía información de los sueños en "El Origen"?,El dispositivo PASIV
¿Qué película de superhéroes de 2012 rompió récords de taquilla?,Los Vengadores
¿Quién dirigió "Los Vengadores" (2012)?,Joss Whedon
¿Qué película de superhéroes de 2017 presentó a una princesa amazona?,Mujer Maravilla
¿Quién interpretó a la Mujer Maravilla?,Gal Gadot
¿Qué película de Marvel de 2018 tuvo lugar en Wakanda?,Pantera Negra
¿Quién dirigió "Pantera Negra"?,Ryan Coogler
¿Qué película animada de 2013 presentó a un muñeco de nieve llamado Olaf?,Frozen - Una Aventura Congelada
¿Cuál fue la canción emblema de "Frozen"?,Let It Go (Libre Soy)
¿Qué película de Star Wars de 2015 continuó la saga?,El Despertar de la Fuerza
¿Quién dirigió "Star Wars: El Despertar de la Fuerza"?,J.J. Abrams
¿Qué película de 2014 presentó a un baterista y un instructor abusivo?,Whiplash - Música y Obsesión
¿Quién dirigió "Whiplash"?,Damien Chazelle
¿Qué musical de 2016 ganó 6 Oscars?,La La Land - Ciudad de Sueños
¿Quién dirigió "La La Land"?,Damien Chazelle
¿Qué película surcoreana de 2019 ganó el Oscar a Mejor Película?,Parásitos
¿Quién dirigió "Parásitos"?,Bong Joon-ho
¿Qué película de terror de 2017 presentó un lugar hundido?,¡Huye!
¿Quién dirigió "¡Huye!"?,Jordan Peele
¿Qué película espacial de 2014 presentó a Matthew McConaughey?,Interestelar
¿Quién dirigió "Interestelar"?,Christopher Nolan
¿Qué película de 2015 ganó el Oscar a Mejor Película sobre periodismo?,En Primera Plana
¿Qué película de 2012 ganó el Oscar a Mejor Película sobre un rescate de la CIA?,Argo
¿Quién dirigió "Argo"?,Ben Affleck
¿Qué película de Marvel de 2016 presentó a héroes peleando entre sí?,Capitán América: Guerra Civil
¿Qué película de 2018 presentó una Bohemian Rhapsody?,Bohemian Rhapsody (sobre Queen)
¿Qué película de Pixar de 2019 presentó la última aventura de Woody?,Toy Story 4
