front,back
¿Qué género de Seattle dominó el rock de principios de los 1990?,Grunge
¿Qué banda lanzó "Nevermind" en 1991?,Nirvana
¿Quién era el cantante principal de Nirvana?,Kurt Cobain
¿Qué canción de Nirvana se convirtió en himno generacional?,Smells Like Teen Spirit
¿Qué banda lanzó "Ten" en 1991?,Pearl Jam
¿Quién era el cantante principal de Pearl Jam?,Eddie Vedder
¿Qué banda británica lideró el movimiento Britpop?,Oasis
¿Cuáles fueron las bandas Britpop rivales de los 90?,Oasis y Blur
¿Qué álbum de Oasis vendió más de 22 millones de copias?,(What's the Story) Morning Glory?
¿Quién cantó "Wonderwall"?,Oasis
¿Qué rivalidad del hip-hop terminó en tragedia en 1996-97?,Costa Este vs Costa Oeste (Tupac y Biggie)
¿Quién fue Tupac Shakur?,Rapero influyente asesinado en 1996
¿Quién fue The Notorious B.I.G.?,Rapero influyente asesinado en 1997
¿Qué artista femenina lanzó "Jagged Little Pill"?,Alanis Morissette
¿Qué boy band cantó "I Want It That Way"?,Backstreet Boys
¿Qué grupo femenino cantó "Wannabe"?,Spice Girls
¿Qué rapero de los años 1990 lanzó "The Slim Shady LP"?,Eminem
¿Qué grupo de R&B cantó "Waterfalls"?,TLC
¿Quién lanzó "...Baby One More Time"?,Britney Spears
¿Qué banda cantó "Creep"?,Radiohead
¿Cuál fue el aclamado álbum de Radiohead de 1997?,OK Computer
¿Quién cantó "No Diggity"?,Blackstreet
¿Qué banda de rock alternativo cantó "Losing My Religion"?,R.E.M.
¿Quién lanzó "The Miseducation of Lauryn Hill"?,Lauryn Hill
¿Qué banda grunge lanzó "Superunknown"?,Soundgarden
¿Quién cantó "Kiss from a Rose"?,Seal
¿Qué banda lanzó "Dookie" en 1994?,Green Day
¿Qué rapero lanzó "Ready to Die"?,The Notorious B.I.G.
¿Quién cantó "I Will Always Love You" en 1992?,Whitney Houston
¿Qué película presentó "I Will Always Love You" de Whitney Houston?,El Guardaespaldas
