front,back
Qual foi o álbum mais vendido dos anos 1980?,Thriller de Michael Jackson
Quem era conhecido como o "Rei do Pop"?,Michael Jackson
Qual lançamento de 1981 revolucionou o consumo de música?,MTV
Qual foi o primeiro videoclipe exibido na MTV?,Video Killed the Radio Star dos Buggles
Quem cantou "Like a Virgin"?,Madonna
Qual era o apelido de Madonna?,A Rainha do Pop
Quem cantou "Purple Rain"?,Prince
Qual banda cantou "Every Breath You Take"?,The Police
Quem era o vocalista do The Police?,Sting
Qual banda britânica se apresentou no Live Aid em 1985?,Queen (apresentação icônica)
Qual concerto beneficente foi realizado em 13 de julho de 1985?,Live Aid
Quem organizou o Live Aid?,Bob Geldof
Qual banda new wave cantou "Sweet Dreams"?,Eurythmics
Quem cantou "Take On Me" com seu famoso videoclipe?,A-ha
Qual banda irlandesa lançou "The Joshua Tree"?,U2
Quem é o vocalista do U2?,Bono
Qual banda cantou "Livin' on a Prayer"?,Bon Jovi
Quem cantou "I Wanna Dance with Somebody"?,Whitney Houston
Qual gênero surgiu no Bronx com DJs e MCs?,Hip-hop
Quem lançou "Raising Hell" em 1986?,Run-DMC
Qual banda de rock lançou "Appetite for Destruction"?,Guns N' Roses
Quem cantou "Beat It" e "Billie Jean"?,Michael Jackson
Qual banda de synth-pop cantou "Enjoy the Silence"?,Depeche Mode
Quem lançou "Born in the U.S.A."?,Bruce Springsteen
Qual dupla pop cantou "Wake Me Up Before You Go-Go"?,Wham!
Quem era o vocalista do Wham!?,George Michael
Qual banda cantou "Jump"?,Van Halen
Quem lançou "Faith" como artista solo em 1987?,George Michael
Qual hino do rock o Journey lançou?,Don't Stop Believin' (1981)
Quem lançou "1999" e "Little Red Corvette"?,Prince
