"front","back"
"¿Qué trilogía de fantasía concluyó en 2003 con un Oscar a Mejor Película?","El Señor de los Anillos"
"¿Quién dirigió la trilogía ""El Señor de los Anillos""?","Peter Jackson"
"¿Qué película de superhéroes de 2008 presentó a Heath Ledger como el Joker?","Batman: El Caballero de la Noche"
"¿Quién dirigió ""Batman: El Caballero de la Noche""?","Christopher Nolan"
"¿Qué película de 2009 se convirtió en la más taquillera de todos los tiempos?","Avatar"
"¿Quién dirigió ""Avatar""?","James Cameron"
"¿Qué película de 2000 presentó a Russell Crowe como gladiador?","Gladiador"
"¿Quién dirigió ""Gladiador""?","Ridley Scott"
"¿Qué película de 2001 inició la franquicia Harry Potter?","Harry Potter y la Piedra Filosofal"
"¿Quién interpretó a Harry Potter?","Daniel Radcliffe"
"¿Qué película de superhéroes de 2002 lanzó la franquicia Marvel?","El Hombre Araña"
"¿Quién interpretó al Hombre Araña en 2002?","Tobey Maguire"
"¿Qué película de Pixar de 2003 presentó a un pez payaso buscando a su hijo?","Buscando a Nemo"
"¿Qué película de 2004 presentó un romance con vampiros?","Entrevista con el Vampiro (1994) / Crepúsculo (2008)"
"¿Qué película de 2006 presentó a 300 espartanos?","300"
"¿Quién dirigió ""300""?","Zack Snyder"
"¿Qué película de los Hermanos Coen de 2007 ganó el Oscar a Mejor Película?","Sin Lugar para los Débiles"
"¿Qué película de Pixar de 2008 presentó a un robot llamado WALL-E?","WALL-E"
"¿Qué película de Christopher Nolan de 2000 presentó pérdida de memoria?","Memento"
"¿Qué película de 2001 presentó ogros parlantes?","Shrek"
"¿Qué película de 2002 ganó el Oscar a Mejor Película sobre un pianista?","El Pianista"
"¿Quién dirigió ""El Pianista""?","Roman Polanski"
"¿Qué película de 2003 presentó a Bill Murray en Japón?","Perdidos en Tokio"
"¿Quién dirigió ""Perdidos en Tokio""?","Sofia Coppola"
"¿Qué película de 2005 presentó el origen de Batman?","Batman Inicia"
"¿Qué película de Martin Scorsese de 2006 ganó el Oscar a Mejor Película?","Los Infiltrados"
"¿Qué película de 2007 presentó a Daniel Day-Lewis como un hombre del petróleo?","Petróleo Sangriento"
"¿Qué película de Pixar de 2009 presentó una casa con globos?","Up - Una Aventura de Altura"
"¿Qué película de 2008 presentó a un millonario de Mumbai?","Slumdog Millionaire"
"¿Qué película de 2003 concluyó la trilogía Matrix?","Matrix Revoluciones"
