"front","back"
"Qual filme de 1972 é considerado um dos melhores já feitos?","O Poderoso Chefão"
"Quem dirigiu ""O Poderoso Chefão""?","Francis Ford Coppola"
"Quem interpretou Vito Corleone em ""O Poderoso Chefão""?","Marlon Brando"
"Quem interpretou Michael Corleone?","Al Pacino"
"Qual filme de 1975 fez o público ter medo de entrar na água?","Tubarão"
"Quem dirigiu ""Tubarão""?","Steven Spielberg"
"Qual filme de 1977 revolucionou o cinema blockbuster?","Star Wars - Uma Nova Esperança"
"Quem criou Star Wars?","George Lucas"
"Qual filme de terror sci-fi de 1979 apresentou um xenomorfo?","Alien - O Oitavo Passageiro"
"Quem dirigiu ""Alien""?","Ridley Scott"
"Qual filme de 1971 apresentou Alex DeLarge e ultraviolência?","Laranja Mecânica"
"Quem dirigiu ""Laranja Mecânica""?","Stanley Kubrick"
"Qual filme de 1974 estrelou Jack Nicholson como um detetive?","Chinatown"
"Quem dirigiu ""Chinatown""?","Roman Polanski"
"Qual filme de 1976 lançou a carreira de Sylvester Stallone?","Rocky - Um Lutador"
"Qual filme de guerra de 1979 retratou a Guerra do Vietnã?","Apocalypse Now"
"Quem dirigiu ""Apocalypse Now""?","Francis Ford Coppola"
"Qual filme de terror de 1973 apresentou uma menina possuída?","O Exorcista"
"Quem dirigiu ""O Exorcista""?","William Friedkin"
"Qual filme de 1975 arrasou no Oscar?","Um Estranho no Ninho"
"Quem estrelou ""Um Estranho no Ninho""?","Jack Nicholson"
"Qual filme de 1976 estrelou Robert De Niro como um taxista?","Taxi Driver"
"Quem dirigiu ""Taxi Driver""?","Martin Scorsese"
"Qual filme de 1971 apresentou Gene Hackman como um detetive?","Operação França"
"Qual filme de 1972 apresentou Burt Reynolds em uma canoa?","Amargo Pesadelo"
"Qual filme de 1978 estrelou John Travolta dançando?","Os Embalos de Sábado à Noite"
"Qual musical de 1978 estrelou Olivia Newton-John e John Travolta?","Grease - Nos Tempos da Brilhantina"
"Qual filme de 1979 iniciou a franquia Superman?","Superman - O Filme"
"Quem interpretou Superman em 1978?","Christopher Reeve"
"Qual termo descreve os novos diretores de Hollywood dos anos 1970?","Nova Hollywood"
