front,back
What 1980 film launched the Star Wars sequel trilogy?,The Empire Strikes Back
Who directed "The Empire Strikes Back"?,Irvin Kershner
What 1981 film introduced Indiana Jones?,Raiders of the Lost Ark
Who played Indiana Jones?,Harrison Ford
What 1982 film featured a friendly alien?,E.T. the Extra-Terrestrial
Who directed "E.T."?,Steven Spielberg
What 1984 film featured a time-traveling DeLorean?,Back to the Future
Who played Marty McFly?,Michael J. Fox
What 1985 film won Best Picture about an African woman?,Out of Africa
What 1986 film starred Tom Cruise as a Navy pilot?,Top Gun
What 1987 film featured a killer robot from the future?,The Terminator (1984) / Robocop (1987)
Who directed "The Terminator"?,James Cameron
What 1988 film featured Bruce Willis as John McClane?,Die Hard
Who directed "Die Hard"?,John McTiernan
What 1989 film revived the Batman franchise?,Batman
Who directed "Batman" (1989)?,Tim Burton
Who played the Joker in "Batman" (1989)?,Jack Nicholson
What 1982 film featured replicants and Harrison Ford?,Blade Runner
Who directed "Blade Runner"?,Ridley Scott
What 1980 horror film featured Jack Nicholson and an axe?,The Shining
Who directed "The Shining"?,Stanley Kubrick
What 1983 film featured a group of friends on a coming-of-age adventure?,Stand by Me
What 1986 film featured Ferris taking a day off?,Ferris Bueller's Day Off
Who directed "Ferris Bueller's Day Off"?,John Hughes
What 1987 film featured a dance sensation named Baby?,Dirty Dancing
What 1988 animated film featured Roger Rabbit?,Who Framed Roger Rabbit
What 1984 film featured a group of parapsychologists?,Ghostbusters
What 1985 film starred Whoopi Goldberg as a psychic?,The Color Purple
Who directed "The Color Purple"?,Steven Spielberg
What 1983 gangster film starred Al Pacino as Tony Montana?,Scarface
