front,back
Qual gênero de Seattle dominou o rock do início dos anos 1990?,Grunge
Qual banda lançou "Nevermind" em 1991?,Nirvana
Quem era o vocalista do Nirvana?,Kurt Cobain
Qual música do Nirvana se tornou um hino geracional?,Smells Like Teen Spirit
Qual banda lançou "Ten" em 1991?,Pearl Jam
Quem era o vocalista do Pearl Jam?,Eddie Vedder
Qual banda britânica liderou o movimento Britpop?,Oasis
Quais foram as bandas Britpop rivais dos anos 90?,Oasis e Blur
Qual álbum do Oasis vendeu mais de 22 milhões de cópias?,(What's the Story) Morning Glory?
Quem cantou "Wonderwall"?,Oasis
Qual rivalidade do hip-hop terminou em tragédia em 1996-97?,Costa Leste vs Costa Oeste (Tupac e Biggie)
Quem foi Tupac Shakur?,Rapper influente morto em 1996
Quem foi The Notorious B.I.G.?,Rapper influente morto em 1997
Qual artista feminina lançou "Jagged Little Pill"?,Alanis Morissette
Qual boy band cantou "I Want It That Way"?,Backstreet Boys
Qual grupo feminino cantou "Wannabe"?,Spice Girls
Qual rapper dos anos 1990 lançou "The Slim Shady LP"?,Eminem
Qual grupo de R&B cantou "Waterfalls"?,TLC
Quem lançou "...Baby One More Time"?,Britney Spears
Qual banda cantou "Creep"?,Radiohead
Qual foi o aclamado álbum do Radiohead de 1997?,OK Computer
Quem cantou "No Diggity"?,Blackstreet
Qual banda de rock alternativo cantou "Losing My Religion"?,R.E.M.
Quem lançou "The Miseducation of Lauryn Hill"?,Lauryn Hill
Qual banda grunge lançou "Superunknown"?,Soundgarden
Quem cantou "Kiss from a Rose"?,Seal
Qual banda lançou "Dookie" em 1994?,Green Day
Qual rapper lançou "Ready to Die"?,The Notorious B.I.G.
Quem cantou "I Will Always Love You" em 1992?,Whitney Houston
Qual filme apresentou "I Will Always Love You" de Whitney Houston?,O Guarda-Costas
