front,back
¿Qué película de 1994 protagonizó Tom Hanks como un hombre simple que presencia la historia?,Forrest Gump
¿Quién dirigió "Forrest Gump"?,Robert Zemeckis
¿Qué película de crimen de 1994 presenta historias entrelazadas?,Pulp Fiction - Tiempos Violentos
¿Quién dirigió "Pulp Fiction"?,Quentin Tarantino
¿Qué película de 1993 dio vida a los dinosaurios?,Jurassic Park - Parque Jurásico
¿Quién dirigió "Jurassic Park"?,Steven Spielberg
¿Qué película de 1997 se convirtió en la más taquillera de todos los tiempos?,Titanic
¿Quién dirigió "Titanic"?,James Cameron
¿Qué película de 1999 cuestionó la naturaleza de la realidad con una píldora roja y azul?,Matrix
¿Quién dirigió "Matrix"?,Las Wachowski
¿Qué película de 1991 presentó a un psiquiatra caníbal?,El Silencio de los Inocentes
¿Quién interpretó a Hannibal Lecter?,Anthony Hopkins
¿Qué película de 1994 presentó una fuga de prisión en Maine?,Cadena Perpetua
¿Quién dirigió "Cadena Perpetua"?,Frank Darabont
¿Qué película de 1995 presentó a Brad Pitt y Morgan Freeman como detectives?,Se7en - Los Siete Pecados Capitales
¿Quién dirigió "Se7en"?,David Fincher
¿Qué película de 1999 protagonizaron Brad Pitt y Edward Norton en un club de lucha?,El Club de la Pelea
¿Qué película de 1993 ganó el Oscar a Mejor Película sobre el Holocausto?,La Lista de Schindler
¿Quién dirigió "La Lista de Schindler"?,Steven Spielberg
¿Qué película de Pixar de 1995 fue el primer largometraje totalmente animado por computadora?,Toy Story
¿Quién dobló a Woody en "Toy Story"?,Tom Hanks
¿Qué película de guerra de 1998 retrató la invasión del Día D?,Rescatando al Soldado Ryan
¿Qué película de 1997 presentó a Will Smith luchando contra alienígenas?,Hombres de Negro
¿Qué película de gánsters de 1990 protagonizaron Ray Liotta y Joe Pesci?,Buenos Muchachos
¿Quién dirigió "Buenos Muchachos"?,Martin Scorsese
¿Qué épica escocesa de 1996 protagonizó Mel Gibson?,Corazón Valiente
¿Qué película de 1999 presentó a Bruce Willis como una persona muerta?,"Sexto Sentido (""Veo gente muerta"")"
¿Quién dirigió "Sexto Sentido"?,M. Night Shyamalan
¿Qué película de Disney de 1991 presentó a una bestia y una bella?,La Bella y la Bestia
¿Qué película de Disney de 1994 presentó a un cachorro de león príncipe?,El Rey León
