"front","back"
"Who is known as the King of Rock and Roll?","Elvis Presley"
"What 1954 song by Elvis launched rock and roll mainstream?","""That's All Right"""
"Who recorded ""Johnny B. Goode""?","Chuck Berry"
"Who is known as the Father of Rock and Roll?","Chuck Berry"
"What instrument did Chuck Berry popularize in rock?","Electric guitar"
"Who sang ""Tutti Frutti""?","Little Richard"
"What was Elvis Presley's first number one hit?","Heartbreak Hotel (1956)"
"Who recorded ""Great Balls of Fire""?","Jerry Lee Lewis"
"What was Jerry Lee Lewis's playing style called?","Boogie-woogie piano"
"Who sang ""Blue Suede Shoes""?","Carl Perkins (also covered by Elvis)"
"What was the famous Sun Records studio located?","Memphis, Tennessee"
"Who founded Sun Records?","Sam Phillips"
"What doo-wop group sang ""Earth Angel""?","The Penguins"
"Who sang ""La Bamba""?","Ritchie Valens"
"What tragedy occurred on February 3, 1959?","The Day the Music Died (plane crash killing Buddy Holly, Ritchie Valens, The Big Bopper)"
"Who sang ""Peggy Sue""?","Buddy Holly"
"What was Buddy Holly's band called?","The Crickets"
"Who recorded ""Blueberry Hill""?","Fats Domino"
"What genre dominated early 1950s pop charts?","Crooners and big band music"
"Who sang ""Fly Me to the Moon"" originally?","Kaye Ballard (1954)"
"Who was the top-selling artist of the 1950s?","Elvis Presley"
"What dance craze swept the 1950s?","The twist"
"Who sang ""Rock Around the Clock""?","Bill Haley & His Comets"
"What movie featured ""Rock Around the Clock""?","Blackboard Jungle (1955)"
"Who sang ""Only You""?","The Platters"
"What was the first rock and roll song to hit number one?","""Rock Around the Clock"" by Bill Haley (1955)"
"Who recorded ""Maybellene""?","Chuck Berry"
"What female artist sang ""I Walk the Line"" response song?","Patsy Cline influenced country-pop"
"Who was the Queen of Rockabilly?","Wanda Jackson"
"What instrument defined 1950s rock and roll sound?","""Electric guitar, drums, and piano"""
"Who sang ""Hound Dog"" before Elvis?","Big Mama Thornton"
