front,back
¿Qué servicio revolucionó la distribución de música en 2001?,iTunes
¿Qué dispositivo cambió cómo la gente escuchaba música en 2001?,iPod
¿Qué banda lanzó "Hybrid Theory" en 2000?,Linkin Park
¿Qué rapero lanzó "The Marshall Mathers LP"?,Eminem
¿Quién lanzó "Crazy in Love" en 2003?,Beyoncé
¿Qué artista de hip-hop lanzó "The College Dropout"?,Kanye West
¿Quién cantó "Hey Ya!"?,OutKast
¿Qué banda británica lanzó "A Rush of Blood to the Head"?,Coldplay
¿Quién es el cantante principal de Coldplay?,Chris Martin
¿Qué estrella pop lanzó "Toxic" en 2004?,Britney Spears
¿Qué banda de rock lanzó "American Idiot"?,Green Day
¿Quién lanzó "Back to Black"?,Amy Winehouse
¿Cuál era el estilo característico de Amy Winehouse?,Soul retro
¿Qué cantante canadiense lanzó "Complicated"?,Avril Lavigne
¿Quién cantó "Umbrella"?,Rihanna
¿Qué artista lanzó "FutureSex/LoveSounds"?,Justin Timberlake
¿Qué banda lanzó "Hot Fuss" en 2004?,The Killers
¿Quién lanzó "21" a finales de los 2000 (2008)?,"Adele (Nota: 21 fue en 2011, pero 19 fue en 2008)"
¿Qué género de música electrónica surgió de Francia?,French house (Daft Punk)
¿Qué álbum de Daft Punk presentó "One More Time"?,Discovery
¿Quién lanzó "Graduation" en 2007?,Kanye West
¿Qué banda de rock lanzó "By the Way"?,Red Hot Chili Peppers
¿Quién lanzó "Speak Now" en 2010?,Taylor Swift (comenzó en country en los 2000)
¿Qué banda de pop punk lanzó "All the Small Things"?,Blink-182
¿Quién lanzó "The Black Parade"?,My Chemical Romance
¿Qué rapero lanzó "Tha Carter III"?,Lil Wayne
¿Quién cantó "Single Ladies"?,Beyoncé
¿Qué artista británico lanzó "In Rainbows" con precio libre?,Radiohead
¿Quién lanzó "Good Girl Gone Bad"?,Rihanna
¿Qué grupo de hip-hop lanzó "Speakerboxxx/The Love Below"?,OutKast
