front,back
¿Qué película noir de 1950 protagonizó Gloria Swanson como una estrella decadente?,El Crepúsculo de los Dioses
¿Quién dirigió "El Crepúsculo de los Dioses"?,Billy Wilder
¿Qué musical de 1951 protagonizó Gene Kelly cantando bajo la lluvia?,Cantando Bajo la Lluvia
¿Qué película de Marlon Brando estableció la actuación del método en 1951?,Un Tranvía Llamado Deseo
¿Quién dirigió "La Ventana Indiscreta" (1954)?,Alfred Hitchcock
¿Quién protagonizó "La Ventana Indiscreta"?,James Stewart y Grace Kelly
¿Qué película de 1954 protagonizó Marlon Brando como boxeador?,La Ley del Silencio
¿Quién dirigió "La Ley del Silencio"?,Elia Kazan
¿Qué película de 1955 hizo de James Dean un ícono?,Rebelde Sin Causa
¿Cuál fue la otra película importante de James Dean de 1955?,Al Este del Edén
¿Qué épica ganó el Oscar a Mejor Película en 1956?,La Vuelta al Mundo en 80 Días
¿Qué película de 1956 protagonizó Charlton Heston como Moisés?,Los Diez Mandamientos
¿Quién dirigió "Los Diez Mandamientos"?,Cecil B. DeMille
¿Qué película de 1957 presentó un drama judicial con Henry Fonda?,12 Hombres en Pugna
¿Quién dirigió "12 Hombres en Pugna"?,Sidney Lumet
¿Qué película épica ganó 11 Oscars en 1959?,Ben-Hur
¿Quién protagonizó "Ben-Hur"?,Charlton Heston
¿Qué película de Hitchcock de 1958 presentaba miedo a las alturas?,Vértigo
¿Quién protagonizó "Vértigo"?,James Stewart y Kim Novak
¿Qué comedia de Marilyn Monroe se estrenó en 1959?,Con Faldas y a lo Loco
¿Quién dirigió "Con Faldas y a lo Loco"?,Billy Wilder
¿Qué película japonesa de 1954 influyó en muchos westerns de Hollywood?,Los Siete Samuráis
¿Quién dirigió "Los Siete Samuráis"?,Akira Kurosawa
¿Qué musical protagonizado por Judy Garland fue un remake de 1954?,Ha Nacido una Estrella
¿Qué película de 1957 fue un drama judicial sobre un caso de asesinato?,Testigo de Cargo
¿Qué actriz protagonizó "Vacaciones en Roma" (1953)?,Audrey Hepburn
¿Qué sistema de estudios dominó Hollywood en los años 1950?,Los estudios Big Five
¿Qué tecnología compitió con la TV en los años 1950?,Formatos panorámicos como CinemaScope
¿Qué clásico de 1950 protagonizó Bette Davis diciendo "Abróchense los cinturones"?,Eva al Desnudo
¿Quién dirigió "Eva al Desnudo"?,Joseph L. Mankiewicz
