front,back
¿En qué años duró la Primera Guerra Mundial?,1914–1918
¿Qué evento desencadenó la Primera Guerra Mundial?,Asesinato del Archiduque Francisco Fernando
¿Dónde fue asesinado el Archiduque Francisco Fernando?,Sarajevo
¿Qué país representaba el Archiduque Francisco Fernando?,Austria-Hungría
¿Quién asesinó al Archiduque Francisco Fernando?,Gavrilo Princip
¿De qué alianza formaba parte Austria-Hungría?,Potencias Centrales
¿Qué país declaró la guerra a Serbia en 1914?,Austria-Hungría
¿Qué alianza incluía a Gran Bretaña, Francia y Rusia?,Potencias Aliadas
¿Qué eran las Potencias Centrales?,"Alemania, Austria-Hungría, Imperio Otomano, Bulgaria"
¿Qué país invadió Bélgica en 1914?,Alemania
¿Por qué Alemania invadió Bélgica?,Para ejecutar el Plan Schlieffen
¿Qué era el Plan Schlieffen?,Plan alemán para derrotar a Francia rápidamente
¿La neutralidad de qué país fue violada cuando Alemania invadió Bélgica?,Bélgica
¿Por qué Gran Bretaña entró en la Primera Guerra Mundial?,Invasión alemana de Bélgica
¿Qué tipo de guerra dominó el Frente Occidental?,Guerra de trincheras
¿Qué era el Frente Occidental?,Combates en Francia y Bélgica
¿Qué era el Frente Oriental?,Combates entre Alemania y Rusia
¿Qué arma causó muertes masivas en la Primera Guerra Mundial?,Ametralladora
¿Qué nueva arma causó miedo y heridas en la Primera Guerra Mundial?,Gas venenoso
¿Cuál fue el primer gas venenoso ampliamente utilizado?,Gas cloro
¿Qué equipo de protección se desarrolló contra el gas?,Máscaras de gas
¿Para qué se usaron los tanques por primera vez?,Romper los puntos muertos de las trincheras
¿Qué batalla fue una de las más sangrientas de la Primera Guerra Mundial?,Batalla del Somme
¿En qué año fue la Batalla del Somme?,1916
¿Qué batalla simbolizó la guerra de desgaste?,Batalla de Verdún
¿Qué significa desgaste en la guerra?,Agotar al enemigo
¿Qué imperio colapsó después de la Primera Guerra Mundial?,Imperio Otomano
¿Qué imperio colapsó después de la Primera Guerra Mundial en Europa Central?,Austria-Hungría
¿Qué imperio colapsó después de la Primera Guerra Mundial en Europa del Este?,Imperio Ruso
¿Qué revolución hizo que Rusia abandonara la Primera Guerra Mundial?,Revolución Bolchevique
¿Quién lideró la Revolución Bolchevique?,Vladimir Lenin
¿Qué tratado sacó a Rusia de la Primera Guerra Mundial?,Tratado de Brest-Litovsk
¿En qué año Estados Unidos entró en la Primera Guerra Mundial?,1917
¿Qué evento ayudó a empujar a EE.UU. a la Primera Guerra Mundial?,Telegrama Zimmermann
¿Qué era el Telegrama Zimmermann?,Propuesta alemana a México
¿A qué país animó Alemania a México a atacar?,Estados Unidos
¿Qué era la guerra submarina irrestricta?,Atacar barcos sin aviso
¿Qué barcos hundían los submarinos alemanes?,Barcos mercantes y de pasajeros
¿Qué era el Lusitania?,Barco de pasajeros británico hundido por Alemania
¿En qué año se hundió el Lusitania?,1915
¿Por qué fue significativo el hundimiento del Lusitania?,Civiles estadounidenses fueron asesinados
¿Quién era el presidente de EE.UU. durante la Primera Guerra Mundial?,Woodrow Wilson
¿Qué eran los Catorce Puntos de Wilson?,Principios de paz después de la Primera Guerra Mundial
¿Cuál era una idea clave de los Catorce Puntos?,Autodeterminación
¿Qué organización propuso Wilson?,Liga de las Naciones
¿Qué armisticio terminó los combates en la Primera Guerra Mundial?,Armisticio del 11 de noviembre de 1918
