front,back
Quem é conhecido como o Rei do Rock and Roll?,Elvis Presley
Qual música de 1954 de Elvis lançou o rock and roll ao mainstream?,"That's All Right"
Quem gravou "Johnny B. Goode"?,Chuck Berry
Quem é conhecido como o Pai do Rock and Roll?,Chuck Berry
Qual instrumento Chuck Berry popularizou no rock?,Guitarra elétrica
Quem cantou "Tutti Frutti"?,Little Richard
Qual foi o primeiro hit número um de Elvis Presley?,Heartbreak Hotel (1956)
Quem gravou "Great Balls of Fire"?,Jerry Lee Lewis
Como era chamado o estilo de tocar de Jerry Lee Lewis?,Boogie-woogie no piano
Quem cantou "Blue Suede Shoes"?,Carl Perkins (também gravada por Elvis)
Onde ficava o famoso estúdio Sun Records?,"Memphis, Tennessee"
Quem fundou a Sun Records?,Sam Phillips
Qual grupo doo-wop cantou "Earth Angel"?,The Penguins
Quem cantou "La Bamba"?,Ritchie Valens
Qual tragédia ocorreu em 3 de fevereiro de 1959?,"O Dia em que a Música Morreu (acidente de avião matando Buddy Holly, Ritchie Valens, The Big Bopper)"
Quem cantou "Peggy Sue"?,Buddy Holly
Como se chamava a banda de Buddy Holly?,The Crickets
Quem gravou "Blueberry Hill"?,Fats Domino
Qual gênero dominou as paradas pop do início dos anos 1950?,Crooners e música de big band
Quem cantou "Fly Me to the Moon" originalmente?,Kaye Ballard (1954)
Quem foi o artista mais vendido dos anos 1950?,Elvis Presley
Qual febre de dança varreu os anos 1950?,O twist
Quem cantou "Rock Around the Clock"?,Bill Haley & His Comets
Qual filme apresentou "Rock Around the Clock"?,Sementes da Violência (1955)
Quem cantou "Only You"?,The Platters
Qual foi a primeira música de rock and roll a chegar ao número um?,"Rock Around the Clock" de Bill Haley (1955)
Quem gravou "Maybellene"?,Chuck Berry
Qual artista feminina cantou uma resposta a "I Walk the Line"?,Patsy Cline influenciou o country-pop
Quem era a Rainha do Rockabilly?,Wanda Jackson
Qual instrumento definiu o som do rock and roll dos anos 1950?,"Guitarra elétrica, bateria e piano"
Quem cantou "Hound Dog" antes de Elvis?,Big Mama Thornton
