front,back
What fantasy trilogy concluded in 2003 with a Best Picture win?,The Lord of the Rings
Who directed "The Lord of the Rings" trilogy?,Peter Jackson
What 2008 superhero film featured Heath Ledger as the Joker?,The Dark Knight
Who directed "The Dark Knight"?,Christopher Nolan
What 2009 film became the highest-grossing movie ever?,Avatar
Who directed "Avatar"?,James Cameron
What 2000 film featured Russell Crowe as a gladiator?,Gladiator
Who directed "Gladiator"?,Ridley Scott
What 2001 film began the Harry Potter franchise?,Harry Potter and the Sorcerer's Stone
Who played Harry Potter?,Daniel Radcliffe
What 2002 superhero film launched the Marvel franchise?,Spider-Man
Who played Spider-Man in 2002?,Tobey Maguire
What 2003 Pixar film featured a clownfish searching for his son?,Finding Nemo
What 2004 film featured a vampire romance?,Interview with the Vampire (1994) / Twilight (2008)
What 2006 film featured a 300 Spartans?,300
Who directed "300"?,Zack Snyder
What 2007 Coen Brothers film won Best Picture?,No Country for Old Men
What 2008 Pixar film featured a robot named WALL-E?,WALL-E
What 2000 Christopher Nolan film featured memory loss?,Memento
What 2001 film featured talking ogres?,Shrek
What 2002 film won Best Picture about a pianist?,The Pianist
Who directed "The Pianist"?,Roman Polanski
What 2003 film featured Bill Murray in Japan?,Lost in Translation
Who directed "Lost in Translation"?,Sofia Coppola
What 2005 film featured Batman's origin story?,Batman Begins
What 2006 Martin Scorsese film won Best Picture?,The Departed
What 2007 film featured Daniel Day-Lewis as an oil man?,There Will Be Blood
What 2009 Pixar film featured a house with balloons?,Up
What 2008 film featured a millionaire from Mumbai?,Slumdog Millionaire
What 2003 film concluded The Matrix trilogy?,The Matrix Revolutions
