"front","back"
"Qual serviço de streaming transformou a música nos anos 2010?","Spotify"
"Qual cantora britânica lançou ""21"" em 2011?","Adele"
"Qual música de ""21"" ganhou múltiplos Grammys?","Rolling in the Deep"
"Quem lançou ""1989"" em 2014?","Taylor Swift"
"Qual foi o álbum de transição de Taylor Swift do country para o pop?","1989"
"Quem cantou ""Get Lucky"" com Daft Punk?","Pharrell Williams"
"Qual artista canadense dominou a década com ""Hotline Bling""?","Drake"
"Quem lançou ""Lemonade"" em 2016?","Beyoncé"
"Qual gênero combinando pop e música eletrônica dominou?","EDM (Electronic Dance Music)"
"Quem foi o artista mais tocado da década?","Drake"
"Qual artista islandesa lançou ""Biophilia""?","Björk"
"Quem lançou ""To Pimp a Butterfly""?","Kendrick Lamar"
"Qual música se tornou hino do Black Lives Matter desse álbum?","Alright"
"Quem lançou ""Channel Orange"" em 2012?","Frank Ocean"
"Qual banda britânica lançou ""AM"" em 2013?","Arctic Monkeys"
"Quem cantou ""Royals"" em 2013?","Lorde"
"De qual país era Lorde?","Nova Zelândia"
"Qual música porto-riquenha se tornou hit global em 2017?","Despacito de Luis Fonsi e Daddy Yankee"
"Quem lançou ""Born This Way""?","Lady Gaga"
"Qual grupo de K-pop se tornou fenômeno global?","BTS"
"Qual foi o álbum recorde do BTS?","Map of the Soul: 7"
"Quem lançou ""25"" em 2015?","Adele"
"Qual música de ""25"" se tornou seu maior hit?","Hello"
"Quem lançou ""Blurryface""?","Twenty One Pilots"
"Qual música do Twenty One Pilots foi um grande sucesso?","Stressed Out"
"Quem lançou ""Melodrama""?","Lorde"
"Qual rapper lançou ""DAMN.""?","Kendrick Lamar"
"Quem lançou ""Blonde"" em 2016?","Frank Ocean"
"Qual artista lançou ""Anti""?","Rihanna"
"Quem lançou ""My Beautiful Dark Twisted Fantasy""?","Kanye West"
