"front","back"
"What 1994 film starred Tom Hanks as a simple man who witnesses history?","Forrest Gump"
"Who directed ""Forrest Gump""?","Robert Zemeckis"
"What 1994 crime film features interweaving stories?","Pulp Fiction"
"Who directed ""Pulp Fiction""?","Quentin Tarantino"
"What 1993 film brought dinosaurs to life?","Jurassic Park"
"Who directed ""Jurassic Park""?","Steven Spielberg"
"What 1997 film became the highest-grossing movie of all time?","Titanic"
"Who directed ""Titanic""?","James Cameron"
"What 1999 film questioned the nature of reality with a red and blue pill?","The Matrix"
"Who directed ""The Matrix""?","The Wachowskis"
"What 1991 film featured a cannibal psychiatrist?","The Silence of the Lambs"
"Who played Hannibal Lecter?","Anthony Hopkins"
"What 1994 film featured a prison escape in Maine?","The Shawshank Redemption"
"Who directed ""The Shawshank Redemption""?","Frank Darabont"
"What 1995 film featured Brad Pitt and Morgan Freeman as detectives?","Se7en"
"Who directed ""Se7en""?","David Fincher"
"What 1999 film starred Brad Pitt and Edward Norton in a fight club?","Fight Club"
"What 1993 film won Best Picture about the Holocaust?","Schindler's List"
"Who directed ""Schindler's List""?","Steven Spielberg"
"What 1995 Pixar film was the first fully computer-animated feature?","Toy Story"
"Who voiced Woody in ""Toy Story""?","Tom Hanks"
"What 1998 war film depicted the D-Day invasion?","Saving Private Ryan"
"What 1997 film featured Will Smith fighting aliens?","Men in Black"
"What 1990 gangster film starred Ray Liotta and Joe Pesci?","Goodfellas"
"Who directed ""Goodfellas""?","Martin Scorsese"
"What 1996 Scottish epic starred Mel Gibson?","Braveheart"
"What 1999 film featured Bruce Willis as a dead person?","""The Sixth Sense (""""I see dead people"""")"""
"Who directed ""The Sixth Sense""?","M. Night Shyamalan"
"What 1991 Disney film featured a beast and a beauty?","Beauty and the Beast"
"What 1994 Disney film featured a lion cub prince?","The Lion King"
