front,back
What British band led the "British Invasion"?,The Beatles
What year did The Beatles first appear on Ed Sullivan?,1964
Who were the four members of The Beatles?,"John Lennon, Paul McCartney, George Harrison, Ringo Starr"
What was The Beatles' first US number one hit?,I Want to Hold Your Hand
What band was known as "The Greatest Rock and Roll Band in the World"?,The Rolling Stones
Who was the lead singer of The Rolling Stones?,Mick Jagger
What Motown group sang "My Girl"?,The Temptations
Who founded Motown Records?,Berry Gordy
What city was Motown Records based in?,Detroit
Who was known as the "Queen of Soul"?,Aretha Franklin
What was Aretha Franklin's signature song?,Respect (1967)
What 1969 festival became a symbol of the counterculture?,Woodstock
Where was Woodstock held?,"Bethel, New York"
Who performed "The Star-Spangled Banner" at Woodstock?,Jimi Hendrix
What band did Jimi Hendrix lead?,The Jimi Hendrix Experience
Who sang "Like a Rolling Stone"?,Bob Dylan
What instrument did Bob Dylan controversially switch to in 1965?,Electric guitar
Who sang "Good Vibrations"?,The Beach Boys
What innovative album did The Beach Boys release in 1966?,Pet Sounds
What Beatles album is considered the first concept album?,Sgt. Pepper's Lonely Hearts Club Band
Who sang "A Change Is Gonna Come"?,Sam Cooke
What British band sang "My Generation"?,The Who
Who was the lead singer of The Doors?,Jim Morrison
What was The Doors' biggest hit?,Light My Fire
Who sang "Brown Eyed Girl"?,Van Morrison
What female trio sang "Stop! In the Name of Love"?,The Supremes
Who was the lead singer of The Supremes?,Diana Ross
What genre emerged from Jamaica in the 1960s?,Reggae
Who is considered the father of reggae?,Toots Hibbert
What psychedelic rock band sang "White Rabbit"?,Jefferson Airplane
