"front","back"
"Qual filme de Hitchcock de 1960 apresentou uma famosa cena de chuveiro?","Psicose"
"Quem interpretou Norman Bates em ""Psicose""?","Anthony Perkins"
"Qual filme de 1962 introduziu James Bond no cinema?","Dr. No"
"Quem foi o primeiro ator a interpretar James Bond?","Sean Connery"
"Qual filme de 1963 estrelou Elizabeth Taylor como Cleópatra?","Cleópatra"
"Qual foi o filme mais caro já feito na época?","Cleópatra (1963)"
"Qual musical de 1964 estrelou Julie Andrews como Mary Poppins?","Mary Poppins"
"Quem dirigiu ""Mary Poppins""?","Robert Stevenson"
"Qual musical de 1965 ganhou o Oscar de Melhor Filme?","A Noviça Rebelde"
"Quem estrelou ""A Noviça Rebelde""?","Julie Andrews"
"Em qual trilogia de faroeste espaguete Clint Eastwood estrelou?","""A Trilogia dos Dólares (Por um Punhado de Dólares, etc.)"""
"Quem dirigiu a Trilogia dos Dólares?","Sergio Leone"
"Qual filme de 1967 estrelou Dustin Hoffman como um recém-formado?","A Primeira Noite de um Homem"
"Quem dirigiu ""A Primeira Noite de um Homem""?","Mike Nichols"
"Qual filme de ficção científica de 1968 apresentou HAL 9000?","2001: Uma Odisseia no Espaço"
"Quem dirigiu ""2001: Uma Odisseia no Espaço""?","Stanley Kubrick"
"Qual road movie de 1969 estrelou Peter Fonda e Dennis Hopper?","Sem Destino"
"Qual filme de 1962 estrelou Gregory Peck como Atticus Finch?","O Sol é para Todos"
"Quem dirigiu ""O Sol é para Todos""?","Robert Mulligan"
"Qual musical de 1961 apresentou gangues rivais de Nova York?","Amor, Sublime Amor"
"Quem dirigiu ""Amor, Sublime Amor"" (1961)?","""Robert Wise e Jerome Robbins"""
"Qual épico de 1960 estrelou Kirk Douglas como um escravo rebelde?","Spartacus"
"Quem dirigiu ""Spartacus""?","Stanley Kubrick"
"Qual filme de Hitchcock de 1963 apresentou pássaros atacando?","Os Pássaros"
"Qual filme de 1966 estrelou Michael Caine como um espião?","Ipcress - O Arquivo Confidencial"
"Qual filme de 1967 estrelou Sidney Poitier em um drama racial?","No Calor da Noite"
"Qual faroeste de 1969 apresentou dois foras da lei fugindo para a Bolívia?","Butch Cassidy"
"Quem estrelou ""Butch Cassidy""?","Paul Newman e Robert Redford"
"Qual diretor da Nouvelle Vague francesa fez ""Acossado""?","Jean-Luc Godard"
"Qual filme italiano de 1960 de Fellini ganhou a Palma de Ouro?","A Doce Vida"
