front,back
What was the best-selling album of the 1980s?,Thriller by Michael Jackson
Who was known as the "King of Pop"?,Michael Jackson
What 1981 launch revolutionized music consumption?,MTV
What was the first music video played on MTV?,Video Killed the Radio Star by The Buggles
Who sang "Like a Virgin"?,Madonna
What was Madonna's nickname?,The Queen of Pop
Who sang "Purple Rain"?,Prince
What band sang "Every Breath You Take"?,The Police
Who was the lead singer of The Police?,Sting
What British band performed at Live Aid in 1985?,Queen (iconic performance)
What charity concert was held on July 13, 1985?,Live Aid
Who organized Live Aid?,Bob Geldof
What new wave band sang "Sweet Dreams"?,Eurythmics
Who sang "Take On Me" with its famous music video?,A-ha
What Irish band released "The Joshua Tree"?,U2
Who is the lead singer of U2?,Bono
What band sang "Livin' on a Prayer"?,Bon Jovi
Who sang "I Wanna Dance with Somebody"?,Whitney Houston
What genre emerged from the Bronx featuring DJs and MCs?,Hip-hop
Who released "Raising Hell" in 1986?,Run-DMC
What rock band released "Appetite for Destruction"?,Guns N' Roses
Who sang "Beat It" and "Billie Jean"?,Michael Jackson
What synth-pop band sang "Enjoy the Silence"?,Depeche Mode
Who released "Born in the U.S.A."?,Bruce Springsteen
What pop duo sang "Wake Me Up Before You Go-Go"?,Wham!
Who was the lead singer of Wham!?,George Michael
What band sang "Jump"?,Van Halen
Who released "Faith" as a solo artist in 1987?,George Michael
What rock anthem did Journey release?,Don't Stop Believin' (1981)
Who released "1999" and "Little Red Corvette"?,Prince
