"front","back"
"What streaming service transformed music in the 2010s?","Spotify"
"What British singer released ""21"" in 2011?","Adele"
"What song from ""21"" won multiple Grammys?","Rolling in the Deep"
"Who released ""1989"" in 2014?","Taylor Swift"
"What was Taylor Swift's transition from country to pop album?","1989"
"Who sang ""Get Lucky"" with Daft Punk?","Pharrell Williams"
"What Canadian artist dominated the decade with ""Hotline Bling""?","Drake"
"Who released ""Lemonade"" in 2016?","Beyoncé"
"What genre combining pop and electronic dance music dominated?","EDM (Electronic Dance Music)"
"Who was the most streamed artist of the decade?","Drake"
"What Icelandic artist released ""Biophilia""?","Björk"
"Who released ""To Pimp a Butterfly""?","Kendrick Lamar"
"What song became an anthem for Black Lives Matter from that album?","Alright"
"Who released ""Channel Orange"" in 2012?","Frank Ocean"
"What British band released ""AM"" in 2013?","Arctic Monkeys"
"Who sang ""Royals"" in 2013?","Lorde"
"What country was Lorde from?","New Zealand"
"What Puerto Rican song became a global hit in 2017?","Despacito by Luis Fonsi and Daddy Yankee"
"Who released ""Born This Way""?","Lady Gaga"
"What K-pop group became a global phenomenon?","BTS"
"What was BTS's record-breaking album?","Map of the Soul: 7"
"Who released ""25"" in 2015?","Adele"
"What song from ""25"" became her biggest hit?","Hello"
"Who released ""Blurryface""?","Twenty One Pilots"
"What song did Twenty One Pilots have a massive hit with?","Stressed Out"
"Who released ""Melodrama""?","Lorde"
"What rapper released ""DAMN.""?","Kendrick Lamar"
"Who released ""Blonde"" in 2016?","Frank Ocean"
"What artist released ""Anti""?","Rihanna"
"Who released ""My Beautiful Dark Twisted Fantasy""?","Kanye West"
