"front","back"
"What years did World War I last?","1914–1918"
"What event triggered World War I?","Assassination of Archduke Franz Ferdinand"
"Where was Archduke Franz Ferdinand assassinated?","Sarajevo"
"Which country did Archduke Franz Ferdinand represent?","Austria-Hungary"
"Who assassinated Archduke Franz Ferdinand?","Gavrilo Princip"
"What alliance was Austria-Hungary part of?","Central Powers"
"Which country declared war on Serbia in 1914?","Austria-Hungary"
"What alliance included Britain France and Russia?","Allied Powers"
"What was the Central Powers alliance?","""Germany, Austria-Hungary, Ottoman Empire, Bulgaria"""
"Which country invaded Belgium in 1914?","Germany"
"Why did Germany invade Belgium?","To execute the Schlieffen Plan"
"What was the Schlieffen Plan?","Germany’s plan to defeat France quickly"
"Which country’s neutrality was violated when Germany invaded Belgium?","Belgium"
"Why did Britain enter World War I?","German invasion of Belgium"
"What type of warfare dominated the Western Front?","Trench warfare"
"What was the Western Front?","Fighting in France and Belgium"
"What was the Eastern Front?","Fighting between Germany and Russia"
"Which weapon caused massive casualties in WWI?","Machine gun"
"What new weapon caused fear and injury in WWI?","Poison gas"
"What was the first poison gas widely used?","Chlorine gas"
"What protective gear was developed against gas?","Gas masks"
"What were tanks first used for?","Breaking trench stalemates"
"Which battle was one of the bloodiest of WWI?","Battle of the Somme"
"In what year was the Battle of the Somme?","1916"
"Which battle symbolized attrition warfare?","Battle of Verdun"
"What does attrition mean in warfare?","Wearing down the enemy"
"Which empire collapsed after WWI?","Ottoman Empire"
"Which empire collapsed after WWI in Central Europe?","Austria-Hungary"
"Which empire collapsed after WWI in Eastern Europe?","Russian Empire"
"What revolution caused Russia to leave WWI?","Bolshevik Revolution"
"Who led the Bolshevik Revolution?","Vladimir Lenin"
"What treaty took Russia out of WWI?","Treaty of Brest-Litovsk"
"In what year did the United States enter WWI?","1917"
"What event helped push the US into WWI?","Zimmermann Telegram"
"What was the Zimmermann Telegram?","German proposal to Mexico"
"Which country did Germany encourage Mexico to attack?","United States"
"What was unrestricted submarine warfare?","Attacking ships without warning"
"What ships did German U-boats sink?","Merchant and passenger ships"
"What was the Lusitania?","British passenger ship sunk by Germany"
"In what year was the Lusitania sunk?","1915"
"Why was the sinking of the Lusitania significant?","American civilians were killed"
"Who was the US president during WWI?","Woodrow Wilson"
"What were Wilson’s Fourteen Points?","Peace principles after WWI"
"What was one key idea of the Fourteen Points?","Self-determination"
"What organization did Wilson propose?","League of Nations"
"What armistice ended the fighting in WWI?","Armistice of November 11 1918"
"What time did the armistice take effect?","11 a.m."
"What treaty formally ended WWI?","Treaty of Versailles"
"In what year was the Treaty of Versailles signed?","1919"
"Which country was blamed for WWI in the treaty?","Germany"
"What clause blamed Germany for the war?","War Guilt Clause"
"What penalties did Germany face?","Reparations territory loss military limits"
"What territory did Germany lose to France?","Alsace-Lorraine"
"What happened to German colonies?","Taken by Allied powers"
"How did Germans view the Treaty of Versailles?","Harsh and humiliating"
"What new countries were created after WWI?","Poland Czechoslovakia Yugoslavia"
"What was nationalism?","Strong pride in one’s nation"
"How did nationalism contribute to WWI?","Increased tensions and rivalries"
"What was militarism?","Building up armed forces"
"What was imperialism?","Competition for colonies"
"What alliance system increased tensions?","Entangling alliances"
"What acronym explains the causes of WWI?","M.A.I.N."
"What does M in MAIN stand for?","Militarism"
"What does A in MAIN stand for?","Alliances"
"What does I in MAIN stand for?","Imperialism"
"What does N in MAIN stand for?","Nationalism"
"What was life like in trenches?","Mud disease rats and shelling"
"What was shell shock?","Psychological trauma from combat"
"What medical advances occurred in WWI?","Plastic surgery blood transfusions"
"What role did women play in WWI?","Factory nurses and support roles"
"How did WWI change warfare?","Introduced modern industrial war"
"How many soldiers died in WWI?","About 9 million"
"How many civilians died in WWI?","About 7 million"
"Why is WWI called a total war?","Entire societies were mobilized"
"What propaganda was used for?","Support war effort"
"What ended the German monarchy?","German Revolution of 1918"
"What was the League of Nations’ goal?","Prevent future wars"
"Why did the League of Nations fail?","Lack of enforcement and US absence"
"How did WWI contribute to WWII?","Unresolved tensions and resentment"
