"front","back"
"What Seattle-based genre dominated early 1990s rock?","Grunge"
"What band released ""Nevermind"" in 1991?","Nirvana"
"Who was the lead singer of Nirvana?","Kurt Cobain"
"What Nirvana song became a generational anthem?","Smells Like Teen Spirit"
"What band released ""Ten"" in 1991?","Pearl Jam"
"Who was the lead singer of Pearl Jam?","Eddie Vedder"
"What British band led the Britpop movement?","Oasis"
"What were the feuding Britpop bands of the 90s?","Oasis and Blur"
"What Oasis album sold over 22 million copies?","(What's the Story) Morning Glory?"
"Who sang ""Wonderwall""?","Oasis"
"What hip-hop rivalry ended in tragedy in 1996-97?","East Coast vs West Coast (Tupac and Biggie)"
"Who was Tupac Shakur?","Influential rapper killed in 1996"
"Who was The Notorious B.I.G.?","Influential rapper killed in 1997"
"What female artist released ""Jagged Little Pill""?","Alanis Morissette"
"What boy band sang ""I Want It That Way""?","Backstreet Boys"
"What girl group sang ""Wannabe""?","Spice Girls"
"What 1990s rapper released ""The Slim Shady LP""?","Eminem"
"What R&B group sang ""Waterfalls""?","TLC"
"Who released ""...Baby One More Time""?","Britney Spears"
"What band sang ""Creep""?","Radiohead"
"What was Radiohead's critically acclaimed 1997 album?","OK Computer"
"Who sang ""No Diggity""?","Blackstreet"
"What alternative rock band sang ""Losing My Religion""?","R.E.M."
"Who released ""The Miseducation of Lauryn Hill""?","Lauryn Hill"
"What grunge band released ""Superunknown""?","Soundgarden"
"Who sang ""Kiss from a Rose""?","Seal"
"What band released ""Dookie"" in 1994?","Green Day"
"What rapper released ""Ready to Die""?","The Notorious B.I.G."
"Who sang ""I Will Always Love You"" in 1992?","Whitney Houston"
"What movie featured Whitney Houston's ""I Will Always Love You""?","The Bodyguard"
