front,back
¿Cuál fue el álbum más vendido de los años 1980?,Thriller de Michael Jackson
¿Quién era conocido como el "Rey del Pop"?,Michael Jackson
¿Qué lanzamiento de 1981 revolucionó el consumo de música?,MTV
¿Cuál fue el primer video musical transmitido en MTV?,Video Killed the Radio Star de The Buggles
¿Quién cantó "Like a Virgin"?,Madonna
¿Cuál era el apodo de Madonna?,La Reina del Pop
¿Quién cantó "Purple Rain"?,Prince
¿Qué banda cantó "Every Breath You Take"?,The Police
¿Quién era el cantante principal de The Police?,Sting
¿Qué banda británica actuó en Live Aid en 1985?,Queen (actuación icónica)
¿Qué concierto benéfico se celebró el 13 de julio de 1985?,Live Aid
¿Quién organizó Live Aid?,Bob Geldof
¿Qué banda new wave cantó "Sweet Dreams"?,Eurythmics
¿Quién cantó "Take On Me" con su famoso video musical?,A-ha
¿Qué banda irlandesa lanzó "The Joshua Tree"?,U2
¿Quién es el cantante principal de U2?,Bono
¿Qué banda cantó "Livin' on a Prayer"?,Bon Jovi
¿Quién cantó "I Wanna Dance with Somebody"?,Whitney Houston
¿Qué género surgió en el Bronx con DJs y MCs?,Hip-hop
¿Quién lanzó "Raising Hell" en 1986?,Run-DMC
¿Qué banda de rock lanzó "Appetite for Destruction"?,Guns N' Roses
¿Quién cantó "Beat It" y "Billie Jean"?,Michael Jackson
¿Qué banda de synth-pop cantó "Enjoy the Silence"?,Depeche Mode
¿Quién lanzó "Born in the U.S.A."?,Bruce Springsteen
¿Qué dúo pop cantó "Wake Me Up Before You Go-Go"?,Wham!
¿Quién era el cantante principal de Wham!?,George Michael
¿Qué banda cantó "Jump"?,Van Halen
¿Quién lanzó "Faith" como solista en 1987?,George Michael
¿Qué himno del rock lanzó Journey?,Don't Stop Believin' (1981)
¿Quién lanzó "1999" y "Little Red Corvette"?,Prince
