front,back
¿Qué banda británica lideró la "Invasión Británica"?,The Beatles
¿En qué año los Beatles aparecieron por primera vez en Ed Sullivan?,1964
¿Quiénes eran los cuatro miembros de los Beatles?,"John Lennon, Paul McCartney, George Harrison, Ringo Starr"
¿Cuál fue el primer éxito número uno de los Beatles en EE.UU.?,I Want to Hold Your Hand
¿Qué banda era conocida como "La Mejor Banda de Rock and Roll del Mundo"?,The Rolling Stones
¿Quién era el cantante principal de los Rolling Stones?,Mick Jagger
¿Qué grupo de Motown cantó "My Girl"?,The Temptations
¿Quién fundó Motown Records?,Berry Gordy
¿En qué ciudad estaba ubicada Motown Records?,Detroit
¿Quién era conocida como la "Reina del Soul"?,Aretha Franklin
¿Cuál era la canción emblema de Aretha Franklin?,Respect (1967)
¿Qué festival de 1969 se convirtió en símbolo de la contracultura?,Woodstock
¿Dónde se celebró Woodstock?,"Bethel, Nueva York"
¿Quién tocó "The Star-Spangled Banner" en Woodstock?,Jimi Hendrix
¿Qué banda lideró Jimi Hendrix?,The Jimi Hendrix Experience
¿Quién cantó "Like a Rolling Stone"?,Bob Dylan
¿A qué instrumento cambió Bob Dylan controversialmente en 1965?,Guitarra eléctrica
¿Quién cantó "Good Vibrations"?,The Beach Boys
¿Qué álbum innovador lanzaron los Beach Boys en 1966?,Pet Sounds
¿Qué álbum de los Beatles es considerado el primer álbum conceptual?,Sgt. Pepper's Lonely Hearts Club Band
¿Quién cantó "A Change Is Gonna Come"?,Sam Cooke
¿Qué banda británica cantó "My Generation"?,The Who
¿Quién era el cantante principal de The Doors?,Jim Morrison
¿Cuál fue el mayor éxito de The Doors?,Light My Fire
¿Quién cantó "Brown Eyed Girl"?,Van Morrison
¿Qué trío femenino cantó "Stop! In the Name of Love"?,The Supremes
¿Quién era la cantante principal de The Supremes?,Diana Ross
¿Qué género surgió en Jamaica en los años 1960?,Reggae
¿Quién es considerado el padre del reggae?,Toots Hibbert
¿Qué banda de rock psicodélico cantó "White Rabbit"?,Jefferson Airplane
