"front","back"
"What 1960 Hitchcock film featured a famous shower scene?","Psycho"
"Who played Norman Bates in ""Psycho""?","Anthony Perkins"
"What 1962 film introduced James Bond to cinema?","Dr. No"
"Who was the first actor to play James Bond?","Sean Connery"
"What 1963 film starred Elizabeth Taylor as Cleopatra?","Cleopatra"
"What was the most expensive film ever made at the time?","Cleopatra (1963)"
"What 1964 musical starred Julie Andrews as Mary Poppins?","Mary Poppins"
"Who directed ""Mary Poppins""?","Robert Stevenson"
"What 1965 musical won Best Picture?","The Sound of Music"
"Who starred in ""The Sound of Music""?","Julie Andrews"
"What Spaghetti Western trilogy did Clint Eastwood star in?","""The Dollars Trilogy (A Fistful of Dollars, etc.)"""
"Who directed the Dollars Trilogy?","Sergio Leone"
"What 1967 film starred Dustin Hoffman as a recent graduate?","The Graduate"
"Who directed ""The Graduate""?","Mike Nichols"
"What 1968 sci-fi film featured HAL 9000?","2001: A Space Odyssey"
"Who directed ""2001: A Space Odyssey""?","Stanley Kubrick"
"What 1969 road movie starred Peter Fonda and Dennis Hopper?","Easy Rider"
"What 1962 film starred Gregory Peck as Atticus Finch?","To Kill a Mockingbird"
"Who directed ""To Kill a Mockingbird""?","Robert Mulligan"
"What 1961 musical featured rival New York gangs?","West Side Story"
"Who directed ""West Side Story"" (1961)?","""Robert Wise and Jerome Robbins"""
"What 1960 epic starred Kirk Douglas as a slave rebel?","Spartacus"
"Who directed ""Spartacus""?","Stanley Kubrick"
"What 1963 Hitchcock film featured attacking birds?","The Birds"
"What 1966 film starred Michael Caine as a spy?","The Ipcress File"
"What 1967 film starred Sidney Poitier in a racial drama?","In the Heat of the Night"
"What 1969 Western featured two outlaws fleeing to Bolivia?","Butch Cassidy and the Sundance Kid"
"Who starred in ""Butch Cassidy and the Sundance Kid""?","Paul Newman and Robert Redford"
"What French New Wave director made ""Breathless""?","Jean-Luc Godard"
"What 1960 Italian film by Fellini won the Palme d'Or?","La Dolce Vita"
