"front","back"
"Qual filme de 1994 estrelou Tom Hanks como um homem simples que testemunha a história?","Forrest Gump - O Contador de Histórias"
"Quem dirigiu ""Forrest Gump""?","Robert Zemeckis"
"Qual filme de crime de 1994 apresenta histórias entrelaçadas?","Pulp Fiction - Tempo de Violência"
"Quem dirigiu ""Pulp Fiction""?","Quentin Tarantino"
"Qual filme de 1993 trouxe dinossauros à vida?","Jurassic Park - O Parque dos Dinossauros"
"Quem dirigiu ""Jurassic Park""?","Steven Spielberg"
"Qual filme de 1997 se tornou o filme de maior bilheteria de todos os tempos?","Titanic"
"Quem dirigiu ""Titanic""?","James Cameron"
"Qual filme de 1999 questionou a natureza da realidade com uma pílula vermelha e azul?","Matrix"
"Quem dirigiu ""Matrix""?","As Wachowskis"
"Qual filme de 1991 apresentou um psiquiatra canibal?","O Silêncio dos Inocentes"
"Quem interpretou Hannibal Lecter?","Anthony Hopkins"
"Qual filme de 1994 apresentou uma fuga da prisão no Maine?","Um Sonho de Liberdade"
"Quem dirigiu ""Um Sonho de Liberdade""?","Frank Darabont"
"Qual filme de 1995 apresentou Brad Pitt e Morgan Freeman como detetives?","Se7en - Os Sete Crimes Capitais"
"Quem dirigiu ""Se7en""?","David Fincher"
"Qual filme de 1999 estrelou Brad Pitt e Edward Norton em um clube da luta?","Clube da Luta"
"Qual filme de 1993 ganhou o Oscar de Melhor Filme sobre o Holocausto?","A Lista de Schindler"
"Quem dirigiu ""A Lista de Schindler""?","Steven Spielberg"
"Qual filme da Pixar de 1995 foi o primeiro longa totalmente animado por computador?","Toy Story"
"Quem dublou Woody em ""Toy Story""?","Tom Hanks"
"Qual filme de guerra de 1998 retratou a invasão do Dia D?","O Resgate do Soldado Ryan"
"Qual filme de 1997 apresentou Will Smith lutando contra alienígenas?","MIB - Homens de Preto"
"Qual filme de gângster de 1990 estrelou Ray Liotta e Joe Pesci?","Os Bons Companheiros"
"Quem dirigiu ""Os Bons Companheiros""?","Martin Scorsese"
"Qual épico escocês de 1996 estrelou Mel Gibson?","Coração Valente"
"Qual filme de 1999 apresentou Bruce Willis como uma pessoa morta?","""O Sexto Sentido (""""Eu vejo pessoas mortas"""")"""
"Quem dirigiu ""O Sexto Sentido""?","M. Night Shyamalan"
"Qual filme da Disney de 1991 apresentou uma fera e uma bela?","A Bela e a Fera"
"Qual filme da Disney de 1994 apresentou um filhote de leão príncipe?","O Rei Leão"
