"front","back"
"Qual filme de 1980 lançou a trilogia de sequências de Star Wars?","O Império Contra-Ataca"
"Quem dirigiu ""O Império Contra-Ataca""?","Irvin Kershner"
"Qual filme de 1981 introduziu Indiana Jones?","Os Caçadores da Arca Perdida"
"Quem interpretou Indiana Jones?","Harrison Ford"
"Qual filme de 1982 apresentou um alienígena amigável?","E.T. - O Extraterrestre"
"Quem dirigiu ""E.T.""?","Steven Spielberg"
"Qual filme de 1984 apresentou um DeLorean que viaja no tempo?","De Volta para o Futuro"
"Quem interpretou Marty McFly?","Michael J. Fox"
"Qual filme de 1985 ganhou o Oscar de Melhor Filme sobre uma mulher africana?","Entre Dois Amores"
"Qual filme de 1986 estrelou Tom Cruise como piloto da Marinha?","Top Gun - Ases Indomáveis"
"Qual filme de 1987 apresentou um robô assassino do futuro?","O Exterminador do Futuro (1984) / Robocop (1987)"
"Quem dirigiu ""O Exterminador do Futuro""?","James Cameron"
"Qual filme de 1988 apresentou Bruce Willis como John McClane?","Duro de Matar"
"Quem dirigiu ""Duro de Matar""?","John McTiernan"
"Qual filme de 1989 reviveu a franquia Batman?","Batman"
"Quem dirigiu ""Batman"" (1989)?","Tim Burton"
"Quem interpretou o Coringa em ""Batman"" (1989)?","Jack Nicholson"
"Qual filme de 1982 apresentou replicantes e Harrison Ford?","Blade Runner - O Caçador de Andróides"
"Quem dirigiu ""Blade Runner""?","Ridley Scott"
"Qual filme de terror de 1980 apresentou Jack Nicholson e um machado?","O Iluminado"
"Quem dirigiu ""O Iluminado""?","Stanley Kubrick"
"Qual filme de 1983 apresentou um grupo de amigos em uma aventura de amadurecimento?","Conta Comigo"
"Qual filme de 1986 apresentou Ferris tirando um dia de folga?","Curtindo a Vida Adoidado"
"Quem dirigiu ""Curtindo a Vida Adoidado""?","John Hughes"
"Qual filme de 1987 apresentou uma sensação da dança chamada Baby?","Dirty Dancing - Ritmo Quente"
"Qual filme animado de 1988 apresentou Roger Rabbit?","Uma Cilada para Roger Rabbit"
"Qual filme de 1984 apresentou um grupo de parapsicólogos?","Os Caça-Fantasmas"
"Qual filme de 1985 estrelou Whoopi Goldberg como uma médium?","A Cor Púrpura"
"Quem dirigiu ""A Cor Púrpura""?","Steven Spielberg"
"Qual filme de gângster de 1983 estrelou Al Pacino como Tony Montana?","Scarface"
