front,back
Qual filme de 2019 se tornou o filme de maior bilheteria de todos os tempos?,Vingadores: Ultimato
Quem dirigiu "Vingadores: Ultimato"?,Anthony e Joe Russo
Qual filme de Christopher Nolan de 2010 apresentou sonhos dentro de sonhos?,A Origem
Qual dispositivo extraía informações dos sonhos em "A Origem"?,O dispositivo PASIV
Qual filme de super-heróis de 2012 quebrou recordes de bilheteria?,Os Vingadores
Quem dirigiu "Os Vingadores" (2012)?,Joss Whedon
Qual filme de super-herói de 2017 apresentou uma princesa amazona?,Mulher-Maravilha
Quem interpretou a Mulher-Maravilha?,Gal Gadot
Qual filme da Marvel de 2018 se passou em Wakanda?,Pantera Negra
Quem dirigiu "Pantera Negra"?,Ryan Coogler
Qual filme animado de 2013 apresentou um boneco de neve chamado Olaf?,Frozen - Uma Aventura Congelante
Qual foi a música símbolo de "Frozen"?,Let It Go (Livre Estou)
Qual filme de Star Wars de 2015 continuou a saga?,O Despertar da Força
Quem dirigiu "Star Wars: O Despertar da Força"?,J.J. Abrams
Qual filme de 2014 apresentou um baterista e um instrutor abusivo?,Whiplash - Em Busca da Perfeição
Quem dirigiu "Whiplash"?,Damien Chazelle
Qual musical de 2016 ganhou 6 Oscars?,La La Land - Cantando Estações
Quem dirigiu "La La Land"?,Damien Chazelle
Qual filme sul-coreano de 2019 ganhou o Oscar de Melhor Filme?,Parasita
Quem dirigiu "Parasita"?,Bong Joon-ho
Qual filme de terror de 2017 apresentou um lugar afundado?,Corra!
Quem dirigiu "Corra!"?,Jordan Peele
Qual filme espacial de 2014 apresentou Matthew McConaughey?,Interestelar
Quem dirigiu "Interestelar"?,Christopher Nolan
Qual filme de 2015 ganhou o Oscar de Melhor Filme sobre jornalismo?,Spotlight - Segredos Revelados
Qual filme de 2012 ganhou o Oscar de Melhor Filme sobre um resgate da CIA?,Argo
Quem dirigiu "Argo"?,Ben Affleck
Qual filme da Marvel de 2016 apresentou heróis lutando entre si?,Capitão América: Guerra Civil
Qual filme de 2018 apresentou uma Bohemian Rhapsody?,Bohemian Rhapsody (sobre o Queen)
Qual filme da Pixar de 2019 apresentou a última aventura de Woody?,Toy Story 4
